id,num_pax_000_014_mins_before_sdt,num_pax_015_029_mins_before_sdt,num_pax_030_044_mins_before_sdt,num_pax_045_059_mins_before_sdt,num_pax_060_074_mins_before_sdt,num_pax_075_089_mins_before_sdt,num_pax_090_104_mins_before_sdt,num_pax_105_119_mins_before_sdt,num_pax_120_134_mins_before_sdt,num_pax_135_149_mins_before_sdt,num_pax_150_164_mins_before_sdt,num_pax_165_179_mins_before_sdt,num_pax_180_194_mins_before_sdt,num_pax_195_209_mins_before_sdt,num_pax_210_224_mins_before_sdt,num_pax_225_239_mins_before_sdt,num_pax_240plus_mins_before_sdt
39,0.05,0.13,2.19,7.8,14.99,20.26,20.67,17.55,13.36,9.03,6.58,4.4,3.61,2.11,1.07,0.55,1.26
40,0.05,0.13,2.19,7.8,14.99,20.26,20.67,17.55,13.36,9.03,6.58,4.4,3.61,2.11,1.07,0.55,1.26
41,0.05,0.13,2.19,7.8,14.99,20.26,20.67,17.55,13.36,9.03,6.58,4.4,3.61,2.11,1.07,0.55,1.26
42,0.05,0.13,2.19,7.8,14.99,20.26,20.67,17.55,13.36,9.03,6.58,4.4,3.61,2.11,1.07,0.55,1.26
43,0.05,0.16,2.01,8.44,14.37,18.61,18.47,16.36,12.86,7.37,5.12,3.64,2.02,1.42,0.6,0.3,2.0
44,0.24,0.26,2.45,7.23,15.54,20.31,20.38,17.02,13.88,8.43,5.94,4.07,2.38,1.46,0.84,0.54,1.27
45,0.02,0.15,2.24,7.74,15.41,20.51,20.82,17.49,13.97,9.39,7.02,4.56,3.76,2.26,1.13,0.57,1.31
46,0.02,0.15,2.24,7.54,15.38,20.42,20.73,17.22,13.65,9.06,6.78,4.37,3.62,2.13,1.06,0.55,1.31
47,0.02,0.15,2.18,7.3,14.98,20.17,20.41,17.31,13.76,9.14,6.75,4.4,3.62,2.21,1.02,0.52,1.28
48,0.02,0.15,2.18,7.3,14.98,20.17,20.41,17.31,13.76,9.14,6.75,4.4,3.62,2.21,1.02,0.52,1.28
49,0.02,0.16,2.14,7.42,15.02,20.19,20.67,18.18,14.44,9.76,7.15,4.62,3.84,2.31,1.11,0.56,1.25
50,0.02,0.16,2.14,7.42,15.02,20.19,20.67,18.18,14.44,9.76,7.15,4.62,3.84,2.31,1.11,0.56,1.25
51,0.04,0.16,2.19,7.33,14.86,20.02,20.74,17.67,13.81,9.2,6.83,4.45,3.62,2.14,1.05,0.56,1.21
52,0.02,0.15,2.18,7.33,15.16,20.38,20.39,17.46,13.86,9.13,6.82,4.43,3.73,2.35,1.21,0.52,1.26
53,0.02,0.15,2.18,7.33,15.16,20.38,20.39,17.46,13.86,9.13,6.82,4.43,3.73,2.35,1.21,0.52,1.26
54,0.02,0.15,2.15,7.29,14.82,20.17,20.5,17.73,13.86,9.15,6.82,4.45,3.65,2.1,1.0,0.54,1.19
55,0.02,0.15,2.13,7.3,14.83,20.23,20.71,18.57,14.42,9.71,7.51,4.82,3.9,2.28,1.17,0.64,1.22
56,0.02,0.15,2.18,7.33,15.16,20.38,20.39,17.46,13.86,9.13,6.82,4.43,3.73,2.35,1.21,0.52,1.26
57,0.02,0.15,2.18,7.33,15.16,20.38,20.39,17.46,13.86,9.13,6.82,4.43,3.73,2.35,1.21,0.52,1.26
58,0.05,0.16,1.92,8.38,14.41,18.82,18.61,16.29,12.77,7.56,5.17,3.72,2.03,1.45,0.61,0.3,2.02
59,0.05,0.16,1.92,8.38,14.41,18.82,18.61,16.29,12.77,7.56,5.17,3.72,2.03,1.45,0.61,0.3,2.02
60,0.02,0.17,2.26,7.61,15.13,20.71,20.95,18.2,13.56,9.08,6.88,4.54,3.78,2.23,1.13,0.64,1.3
61,0.02,0.17,2.26,7.61,15.13,20.71,20.95,18.2,13.56,9.08,6.88,4.54,3.78,2.23,1.13,0.64,1.3
62,0.04,0.16,2.13,7.3,14.96,20.39,20.65,18.38,13.96,9.41,7.1,4.63,3.73,2.2,1.14,0.64,1.28
63,0.04,0.14,2.21,7.49,15.3,20.25,20.67,18.37,14.14,9.48,7.2,4.62,3.73,2.2,1.14,0.64,1.28
64,0.02,0.15,2.15,7.38,15.38,20.32,20.62,18.16,13.56,9.14,7.12,4.51,3.66,2.21,1.1,0.6,1.23
65,0.02,0.14,2.21,7.34,15.12,20.46,20.91,18.02,13.72,9.09,7.05,4.62,3.73,2.2,1.14,0.65,1.34
66,0.02,0.14,2.21,7.34,15.12,20.46,20.91,18.02,13.72,9.09,7.05,4.62,3.73,2.2,1.14,0.65,1.34
67,0.04,0.15,2.25,7.45,15.22,20.27,20.79,17.77,13.9,9.25,7.11,4.68,3.79,2.23,1.19,0.67,1.35
68,0.04,0.16,2.29,7.51,15.41,20.41,20.7,18.18,13.92,9.22,7.12,4.69,3.8,2.22,1.19,0.67,1.34
69,0.04,0.18,2.19,7.47,15.05,19.9,21.14,18.36,13.89,9.34,7.28,4.73,4.02,2.21,1.18,0.68,1.3
70,0.04,0.16,2.25,7.49,15.13,20.16,20.59,18.32,14.07,9.43,7.17,4.63,3.77,2.25,1.15,0.64,1.23
71,0.03,0.14,2.15,6.72,14.09,19.98,20.49,18.16,14.39,9.75,7.52,4.5,3.69,2.44,1.46,0.68,1.04
72,0.04,0.17,2.3,7.17,15.01,19.88,20.37,17.97,13.74,8.95,6.98,4.12,3.25,2.03,1.2,0.58,1.09
73,0.04,0.17,2.28,7.18,14.85,20.06,20.4,18.04,13.82,9.08,6.94,4.07,3.24,1.99,1.2,0.57,1.08
74,0.03,0.16,2.2,7.17,14.43,20.08,20.5,18.06,13.99,9.44,7.01,4.17,3.46,2.24,1.25,0.61,1.01
75,0.03,0.17,2.2,7.0,14.36,20.32,20.61,18.07,14.17,9.65,7.3,4.26,3.44,2.29,1.3,0.6,1.05
76,0.03,0.17,2.2,7.0,14.36,20.32,20.61,18.07,14.17,9.65,7.3,4.26,3.44,2.29,1.3,0.6,1.05
77,0.04,0.16,2.28,7.24,14.56,20.03,20.47,18.1,13.99,9.2,6.9,4.04,3.22,1.99,1.2,0.57,1.09
78,0.03,0.17,2.2,7.0,14.36,20.32,20.61,18.07,14.17,9.65,7.3,4.26,3.44,2.29,1.3,0.6,1.05
79,0.05,0.15,2.21,8.34,15.06,18.58,18.21,16.13,12.09,6.68,4.71,3.74,1.89,1.24,0.58,0.33,2.13
80,0.52,0.2,2.25,6.97,14.53,19.6,19.91,17.76,13.65,8.73,6.62,4.08,3.13,1.98,1.1,0.58,0.98
81,0.52,0.19,2.22,6.94,14.69,19.68,19.59,17.23,13.36,8.16,6.31,3.75,2.87,1.81,1.1,0.54,0.86
82,0.04,0.16,2.18,7.67,15.28,20.5,20.65,17.99,13.85,9.34,6.78,4.45,3.66,2.27,1.07,0.54,1.26
83,0.02,0.15,2.14,7.46,15.06,20.01,20.97,17.87,14.29,9.57,6.99,4.63,3.84,2.32,1.15,0.57,1.37
84,0.02,0.12,2.14,7.31,14.93,20.0,20.68,17.57,14.13,9.47,7.03,4.62,3.84,2.27,1.16,0.57,1.32
85,0.02,0.15,2.14,7.46,15.06,20.01,20.97,17.87,14.29,9.57,6.99,4.63,3.84,2.32,1.15,0.57,1.37
86,0.06,0.17,1.8,8.42,14.13,20.3,22.12,19.52,13.63,8.15,5.76,3.83,2.07,1.26,0.59,0.33,1.23
87,0.02,0.13,2.09,7.26,15.04,20.21,20.8,18.29,13.92,9.33,7.12,4.64,3.7,2.23,1.1,0.62,1.28
88,0.02,0.16,2.13,7.45,15.19,20.25,20.83,18.39,14.37,9.73,7.42,4.86,3.86,2.35,1.18,0.64,1.28
89,0.02,0.13,2.09,7.26,15.04,20.21,20.8,18.29,13.92,9.33,7.12,4.64,3.7,2.23,1.1,0.62,1.28
90,0.02,0.15,2.17,7.27,14.77,19.99,21.01,17.82,14.04,9.46,7.16,4.77,4.04,2.28,1.17,0.63,1.38
91,0.02,0.16,2.13,7.43,15.22,20.45,20.81,18.34,14.44,9.71,7.27,4.69,3.86,2.28,1.15,0.59,1.36
92,0.06,0.17,1.9,8.51,13.9,19.77,21.82,20.19,13.58,8.3,5.76,3.78,2.2,1.26,0.62,0.36,1.36
93,0.06,0.17,1.81,8.54,14.28,20.43,21.97,19.59,13.63,8.19,5.75,3.83,2.07,1.26,0.59,0.33,1.23
94,0.06,0.17,1.9,8.51,13.9,19.77,21.82,20.19,13.58,8.3,5.76,3.78,2.2,1.26,0.62,0.36,1.36
95,0.22,0.26,2.53,7.37,16.04,20.66,20.09,17.01,13.96,8.28,5.78,3.85,2.21,1.48,0.74,0.54,0.99
96,0.22,0.26,2.53,7.37,16.04,20.66,20.09,17.01,13.96,8.28,5.78,3.85,2.21,1.48,0.74,0.54,0.99
97,0.02,0.15,2.17,7.46,15.21,20.14,20.63,17.49,14.0,9.22,6.9,4.5,3.67,2.15,1.01,0.54,1.2
98,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
99,0.02,0.14,2.26,7.6,15.6,20.7,20.59,17.13,13.62,9.04,6.85,4.4,3.53,2.16,1.06,0.55,1.32
100,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
101,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
102,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
103,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
104,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
105,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
106,0.02,0.14,2.26,7.6,15.6,20.7,20.59,17.13,13.62,9.04,6.85,4.4,3.53,2.16,1.06,0.55,1.32
107,0.02,0.14,2.26,7.6,15.6,20.7,20.59,17.13,13.62,9.04,6.85,4.4,3.53,2.16,1.06,0.55,1.32
108,0.02,0.14,2.26,7.6,15.6,20.7,20.59,17.13,13.62,9.04,6.85,4.4,3.53,2.16,1.06,0.55,1.32
109,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
110,0.04,0.17,2.21,7.56,15.36,20.55,20.77,18.61,13.98,9.41,7.14,4.51,3.68,2.19,1.14,0.62,1.28
111,0.04,0.15,2.25,7.57,15.24,20.68,20.79,18.73,14.21,9.64,7.3,4.84,3.88,2.33,1.27,0.69,1.34
112,0.02,0.14,2.24,7.45,15.37,20.59,20.46,17.27,13.89,9.08,6.99,4.48,3.74,2.31,1.25,0.55,1.32
113,0.02,0.14,2.24,7.45,15.37,20.59,20.46,17.27,13.89,9.08,6.99,4.48,3.74,2.31,1.25,0.55,1.32
114,0.06,0.17,1.96,9.01,14.61,20.41,21.73,20.21,13.16,8.01,5.57,3.69,2.16,1.18,0.58,0.36,1.12
115,0.02,0.16,2.15,7.47,15.25,20.25,20.61,17.55,14.06,9.25,6.72,4.42,3.6,2.16,1.01,0.54,1.25
116,0.02,0.14,2.18,7.5,15.1,20.56,20.62,17.79,13.51,9.04,6.85,4.48,3.56,2.23,1.1,0.6,1.23
117,0.02,0.17,2.2,7.36,15.08,20.48,20.84,17.96,13.7,9.06,7.07,4.62,3.72,2.22,1.14,0.65,1.34
118,0.02,0.17,2.2,7.36,15.08,20.48,20.84,17.96,13.7,9.06,7.07,4.62,3.72,2.22,1.14,0.65,1.34
119,0.04,0.18,2.15,7.41,15.24,20.32,20.48,17.95,14.25,9.44,7.36,4.71,3.88,2.35,1.35,0.64,1.23
120,0.04,0.18,2.15,7.41,15.24,20.32,20.48,17.95,14.25,9.44,7.36,4.71,3.88,2.35,1.35,0.64,1.23
121,0.06,0.2,1.97,8.89,14.99,20.12,21.44,19.8,13.86,7.31,5.4,3.52,2.16,1.15,0.66,0.31,1.2
122,0.22,0.26,2.51,7.32,15.75,20.48,19.72,16.92,13.74,8.11,5.68,3.86,2.21,1.48,0.74,0.53,1.0
123,0.22,0.26,2.51,7.32,15.75,20.48,19.72,16.92,13.74,8.11,5.68,3.86,2.21,1.48,0.74,0.53,1.0
124,0.04,0.18,2.32,7.09,14.94,19.96,20.42,18.07,13.88,9.06,7.04,4.25,3.44,2.08,1.33,0.63,1.07
125,0.03,0.14,2.18,7.07,14.64,20.46,21.04,18.55,14.62,10.01,7.42,4.56,3.7,2.4,1.44,0.66,1.0
126,0.03,0.14,2.15,6.91,14.49,20.34,20.92,18.42,14.54,9.95,7.42,4.55,3.68,2.4,1.44,0.66,1.05
127,0.06,0.2,2.0,8.9,14.78,19.76,20.93,19.59,13.51,7.26,5.28,3.41,2.14,1.16,0.67,0.31,1.19
128,0.02,0.15,2.28,7.66,15.45,20.5,20.78,17.13,13.59,8.96,6.63,4.36,3.54,2.19,1.06,0.55,1.32
129,0.02,0.15,2.28,7.66,15.45,20.5,20.78,17.13,13.59,8.96,6.63,4.36,3.54,2.19,1.06,0.55,1.32
130,0.02,0.15,2.24,7.53,15.8,20.93,20.34,17.7,14.06,9.21,6.99,4.54,3.83,2.37,1.27,0.55,1.36
131,0.02,0.15,2.26,7.74,15.29,20.55,21.0,17.76,14.05,9.49,7.07,4.61,3.77,2.31,1.13,0.57,1.32
132,0.02,0.13,2.15,7.53,15.0,20.31,20.81,18.11,14.45,9.78,7.14,4.62,3.81,2.28,1.08,0.54,1.25
133,0.04,0.16,2.2,7.59,15.26,20.4,20.81,17.76,14.02,9.46,6.91,4.45,3.69,2.19,1.07,0.56,1.22
134,0.02,0.13,2.15,7.53,15.0,20.31,20.81,18.11,14.45,9.78,7.14,4.62,3.81,2.28,1.08,0.54,1.25
135,0.02,0.16,2.14,7.56,15.26,20.56,21.01,18.31,14.36,9.75,7.14,4.58,3.79,2.29,1.1,0.56,1.26
136,0.02,0.16,2.23,7.43,15.32,20.6,20.93,17.88,13.77,9.04,6.73,4.48,3.66,2.16,1.05,0.57,1.36
137,0.02,0.16,2.23,7.43,15.32,20.6,20.93,17.88,13.77,9.04,6.73,4.48,3.66,2.16,1.05,0.57,1.36
138,0.02,0.15,2.18,7.3,14.98,20.17,20.41,17.31,13.76,9.14,6.75,4.4,3.62,2.21,1.02,0.52,1.28
139,0.02,0.16,2.07,7.33,15.01,20.1,20.69,18.03,14.14,9.51,7.04,4.61,3.78,2.25,1.1,0.56,1.25
140,0.02,0.16,2.18,7.26,15.08,20.26,20.83,17.85,13.98,9.15,6.83,4.53,3.74,2.15,1.05,0.57,1.36
141,0.06,0.16,1.89,8.71,14.23,19.88,21.95,19.84,13.25,7.47,5.33,3.65,2.18,1.24,0.56,0.29,1.02
142,0.06,0.16,1.87,8.51,14.29,19.62,21.81,19.85,13.35,7.49,5.44,3.65,2.18,1.21,0.56,0.29,1.02
143,0.24,0.27,2.42,7.18,15.76,20.22,20.13,16.75,13.57,8.46,5.73,4.06,2.34,1.47,0.83,0.5,1.19
144,0.02,0.12,2.22,7.56,15.11,20.4,20.91,18.12,14.05,9.61,7.34,4.74,3.78,2.36,1.22,0.65,1.35
145,0.02,0.14,2.24,7.42,15.19,20.38,20.48,17.12,13.79,9.09,6.92,4.45,3.63,2.17,1.06,0.55,1.34
146,0.04,0.16,2.29,7.69,15.6,20.6,20.92,17.83,13.78,9.29,7.14,4.63,3.77,2.27,1.2,0.65,1.36
147,0.04,0.16,2.29,7.69,15.6,20.6,20.92,17.83,13.78,9.29,7.14,4.63,3.77,2.27,1.2,0.65,1.36
148,0.02,0.15,2.18,7.45,15.31,20.48,20.6,17.47,13.69,9.11,6.84,4.39,3.51,2.17,1.05,0.55,1.37
149,0.02,0.13,2.06,7.45,15.1,20.11,20.7,18.09,14.45,9.9,7.47,4.69,3.86,2.31,1.19,0.62,1.28
150,0.02,0.16,2.14,7.31,15.24,20.5,20.73,18.32,13.98,9.23,7.08,4.59,3.75,2.17,1.09,0.62,1.27
151,0.02,0.15,2.23,7.45,15.4,20.55,20.6,17.43,13.87,9.14,6.87,4.4,3.59,2.16,1.05,0.55,1.37
152,0.02,0.15,2.21,7.45,15.18,20.17,20.78,17.98,13.69,9.05,7.0,4.58,3.66,2.23,1.09,0.62,1.23
153,0.02,0.17,2.2,7.6,15.37,20.91,20.84,18.15,13.57,9.11,7.01,4.5,3.63,2.22,1.1,0.6,1.23
154,0.02,0.18,2.16,7.43,15.39,20.54,20.89,18.56,13.96,9.23,7.15,4.6,3.75,2.17,1.1,0.62,1.27
155,0.04,0.16,2.28,7.64,15.32,20.4,20.96,18.27,13.69,9.21,7.09,4.62,3.74,2.27,1.19,0.65,1.36
156,0.04,0.16,2.21,7.52,15.22,20.46,20.83,18.64,14.19,9.53,7.3,4.6,3.77,2.2,1.14,0.62,1.28
157,0.04,0.19,2.23,7.62,15.44,20.67,20.81,18.43,14.05,9.39,7.09,4.49,3.68,2.19,1.14,0.62,1.28
158,0.04,0.16,2.21,7.52,15.22,20.46,20.83,18.64,14.19,9.53,7.3,4.6,3.77,2.2,1.14,0.62,1.28
159,0.04,0.14,2.19,7.45,15.21,20.3,20.82,18.71,14.23,9.59,7.35,4.66,3.81,2.2,1.14,0.64,1.28
160,0.04,0.14,2.19,7.45,15.21,20.3,20.82,18.71,14.23,9.59,7.35,4.66,3.81,2.2,1.14,0.64,1.28
161,0.04,0.16,2.21,7.52,15.22,20.46,20.83,18.64,14.19,9.53,7.3,4.6,3.77,2.2,1.14,0.62,1.28
162,0.06,0.17,1.95,8.82,14.68,20.48,21.91,20.05,13.26,7.67,5.52,3.46,2.24,1.25,0.57,0.3,1.22
163,0.06,0.17,1.96,8.62,14.58,20.26,22.09,20.24,13.15,7.43,5.31,3.54,2.1,1.08,0.51,0.31,0.98
164,0.22,0.26,2.47,7.26,15.74,20.34,19.66,16.68,13.38,8.12,5.53,3.8,2.17,1.46,0.7,0.5,0.95
165,0.22,0.26,2.47,7.26,15.74,20.34,19.66,16.68,13.38,8.12,5.53,3.8,2.17,1.46,0.7,0.5,0.95
166,0.22,0.26,2.46,7.27,15.7,20.18,19.71,16.64,13.28,8.07,5.55,3.79,2.16,1.42,0.69,0.5,0.95
167,0.22,0.27,2.54,7.48,15.9,20.51,19.55,17.18,13.73,8.54,6.24,4.22,2.66,1.62,0.94,0.54,0.96
168,0.02,0.17,2.3,7.61,15.37,20.82,20.87,18.03,13.51,8.89,6.79,4.48,3.61,2.2,1.14,0.63,1.34
169,0.02,0.15,2.24,7.48,15.4,20.55,20.59,17.46,13.77,9.2,6.83,4.38,3.57,2.22,1.06,0.55,1.37
170,0.02,0.15,2.24,7.48,15.4,20.55,20.59,17.46,13.77,9.2,6.83,4.38,3.57,2.22,1.06,0.55,1.37
171,0.02,0.12,2.29,7.57,15.18,20.3,20.86,17.81,13.69,9.1,6.93,4.51,3.62,2.25,1.14,0.63,1.35
172,0.02,0.15,2.24,7.48,15.4,20.55,20.59,17.46,13.77,9.2,6.83,4.38,3.57,2.22,1.06,0.55,1.37
173,0.04,0.18,2.26,7.57,15.28,20.3,20.8,17.85,13.69,9.09,6.98,4.55,3.73,2.22,1.19,0.65,1.35
174,0.04,0.16,2.34,7.73,15.49,20.54,20.98,18.12,13.73,9.21,7.06,4.61,3.75,2.27,1.19,0.65,1.36
175,0.02,0.17,2.28,7.59,15.31,20.58,21.15,18.29,13.76,9.12,7.15,4.63,3.77,2.25,1.14,0.63,1.35
176,0.02,0.15,2.17,7.4,15.14,20.47,20.74,18.21,13.92,9.2,6.87,4.45,3.59,2.17,1.09,0.62,1.27
177,0.02,0.15,2.17,7.4,15.14,20.47,20.74,18.21,13.92,9.2,6.87,4.45,3.59,2.17,1.09,0.62,1.27
178,0.02,0.13,2.09,7.4,15.07,20.1,20.73,18.18,14.39,9.84,7.33,4.79,3.84,2.36,1.2,0.64,1.29
179,0.02,0.15,2.19,7.3,15.09,20.3,20.37,17.44,13.99,9.2,6.91,4.49,3.78,2.37,1.22,0.52,1.28
180,0.02,0.15,2.25,7.72,15.5,20.65,21.03,17.79,13.99,9.47,7.08,4.62,3.83,2.32,1.16,0.57,1.33
181,0.02,0.15,2.24,7.53,15.8,20.93,20.34,17.7,14.06,9.21,6.99,4.54,3.83,2.37,1.27,0.55,1.36
182,0.02,0.16,2.14,7.27,15.08,20.08,20.76,17.62,14.14,9.29,6.9,4.46,3.68,2.12,1.01,0.54,1.25
183,0.02,0.15,2.24,7.53,15.8,20.93,20.34,17.7,14.06,9.21,6.99,4.54,3.83,2.37,1.27,0.55,1.36
184,0.06,0.16,1.9,9.06,14.52,20.74,22.19,20.23,13.46,7.98,5.67,3.74,2.16,1.2,0.58,0.36,1.09
185,0.22,0.29,2.61,7.49,16.24,20.43,19.92,16.88,13.53,8.29,5.97,4.17,2.61,1.76,0.86,0.54,0.96
186,0.22,0.26,2.48,7.81,15.87,20.37,19.82,16.71,13.55,8.28,5.83,4.03,2.33,1.7,0.85,0.52,0.99
187,0.22,0.27,2.45,7.39,15.72,20.58,20.08,17.0,13.21,8.25,5.65,4.11,2.54,1.55,0.74,0.51,1.29
188,0.02,0.15,2.24,7.52,15.26,20.43,20.98,17.78,13.74,9.19,7.09,4.52,3.69,2.24,1.14,0.63,1.35
189,0.02,0.12,2.11,7.36,14.84,20.1,20.76,17.93,14.03,9.61,7.28,4.61,3.75,2.3,1.19,0.62,1.24
190,0.02,0.12,2.19,7.63,15.11,20.29,20.98,17.82,14.24,9.74,7.18,4.6,3.78,2.3,1.11,0.54,1.22
191,0.02,0.12,2.19,7.63,15.11,20.29,20.98,17.82,14.24,9.74,7.18,4.6,3.78,2.3,1.11,0.54,1.22
